OutletID,SurveyDate,Outlet_Name,Town,Parish,Item,ItemID,Price
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","AGRICULTURE CARIBBEAN AGRICULTURAL SCIENCE BOOK 1 (Second Edition) by A. I. Henry 978-0333551974","176690414","0.00"
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","AGRICULTURE NEW EDITION AGRICULTURE FOR CSEC (Revision Course) by Sabaddeo Ragoonanan (Paperback) 978-9766481902","176815415","2650.00"
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","NATURAL SCIENCE BIOLOGY: A CONCISE REVISION COURSE FOR CSEC by Anne Tindale 978-0748737260","169603253","3540.00"
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","NATURAL SCIENCE Biology for CSEC Examinations by Linda Atwaroo-Ali & Dr. Mike Taylor 978-0230438835","169837449","4405.00"
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","BUSINESS ACCOUNTING PRINCIPLES (Eleventh Edition) by Jerry J. Weygandt , Paul D. Kimmel and Donald E. Kieso 978-1118130032","161692281","0.00"
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","BUSINESS BUSINESS STUDIES (Fourth Edition) by Dave Hall, Rob Jones, Carlo Raffo, Alain Anderton (Edited by T. Chambers and D. Gray)  978-1405892315","161693282","0.00"
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","BUSINESS MANAGEMENT OF BUSINESS FOR CAPE, UNIT 1 by Peter Stimpson and Kathleen Singh 978-0521696999","161694283","5345.00"
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","CARIBBEAN STUDIES CARIBBEAN STUDIES FOR CAPE EXAMINATIONS 978-1405062978","183823284","0.00"
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","NATURAL SCIENCE CHEMISTRY: A CONCISE REVISION COURSE FOR CSEC (Second Edition) by Anne Tindale  978-0748737253","169726317","3540.00"
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","NATURAL SCIENCE Chemistry for CSEC Examinations by Tania Chung & Dr. Mike Taylor 978-0230438828","169838450","4540.00"
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","COMMUNICATION STUDIES COMMUNICATION STUDIES FOR CAPE EXAMINATIONS by V. Simon and S. Osbourne  978-1405079761","184696285","0.00"
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","COMPUTER SCIENCE ELECTRONIC DOCUMENT PREPARATION AND MANAGEMENT FOR CSEC EXAMINATIONS (SBA Chapter) (Includes Interactive CD ROM) by Howard Campbell and Olivene Bogle-Graham (Series editor: Dr. Mike Taylor) 978-0230429123","162697286","0.00"
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","ECONOMICS ECONOMICS FOR CAPE by C Bamford and N. Mohammed 978-0521701419","172831322","0.00"
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","ECONOMICS ECONOMICS: PRINCIPLES AND POLICY (Twelfth Edition) by W.J. Baumol and A.S. Blinder 978-0538453677","172731323","0.00"
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","ELECTRICAL INSTALLATION ELECTRICAL INSTALLATION: THEORY & PRACTICE (Third Edition) by E.L. Donnelly 978-0174450740","179636416","0.00"
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","ENGLISH LANGUAGE English Matters for Jamaica- Grade 7 Student's Book by Julia Sander 978-0230429130","163839451","1045.00"
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","ENGLISH LANGUAGE English Matters for Jamaica- Grade 8 Student's Book by Julia Sander 978-0230437616","163840452","0.00"
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","ENGLISH LANGUAGE English Matters for Jamaica- Grade 9 Student's Book by Julia Sander 978-0230437661","163841453","0.00"
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","ENGLISH LANGUAGE GRAMMAR & LANGUAGE BOOK 3 - A Merrill Shultext Series   978-0675046688","163698417","0.00"
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","ENGLISH LANGUAGE DEVELOPING PROFICIENCY IN  C.X.C. ENGLISH A - PAPER 1 MULTIPLE CHOICE by Roy Narinesingh  978-9769535251","163699288","2950.00"
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","ENGLISH LANGUAGE WRITING IN ENGLISH: A COURSE BOOK FOR CARIBBEAN STUDENTS (Second Edition) by Hazel Simmons-McDonald, Linda Fields and Peter Roberts  978-9766373696","163554289","3000.00"
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","ENGLISH LANGUAGE THE POCKET OXFORD ENGLISH DICTIONARY (Eleventh Edition ) Edited by Maurice Waite    978-0199666157","163700290","0.00"
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","ENGLISH LANGUAGE OXFORD SCHOOL DICTIONARY  (In Colour, Easy to Use) Oxford Dictionaries 978-0192756930","163800394","0.00"
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","ENGLISH LANGUAGE OXFORD STUDENT\\'S THESAURUS  978-0199116522","163702292","0.00"
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","ENGLISH LITERATURE A COW CALLED BOY by C. Everard Palmer NONE","164556183","1795.00"
"492","2017-06-13","A-Z BOOKSHOP","SANTA CRUZ","St. Elizabeth","ENGLISH LITERATURE A WORLD OF POETRY FOR CXC (New Edition) Edited by Mark McWatt and Hazel Simmons-McDonald 978-0435988012","164573305","2770.00"
